S. No.,Date,Notes
1,20/08/2022,[Finite dimension vector space](https://drive.google.com/open?id=1pL6u5e3waQLGIoN_mXXT4PBWqKL0qPrl)
2,22/08/2022,[Vector space](https://drive.google.com/open?id=1VUg6zrtkitFnR0fSrgqz8jod6Qqs68mc)
3,24/08/2022,[Example of vector space](https://drive.google.com/open?id=1saL7F1-KHajsdlRrWF8o3LUiE6hn8MQu)
4,25/08/2022,[Example of vector space and their properties](https://drive.google.com/open?id=1rk9oJUurn4FF9tK3vfoAQIFu36M-ljxG)
5,26/08/2022,[Finite dimension](https://drive.google.com/open?id=1S78ovyerBiQCwugVhtx_n2N4-0-bSAHZ)
6,27/08/2022,[Linear transformation](https://drive.google.com/open?id=1eXCsbA6ikM8cg2b9KEQbsuko_RBrp4ax)
7,29/08/2022,[Gaussian elimination method](https://drive.google.com/open?id=1WEv7LvYICnykyvdcK3wgfBFELcyoiRMC)
8,30/08/2022,[CSIR NET Exam and Syllabus]()
9,31/08/2022,[Gaussian elimination method](https://drive.google.com/open?id=120ZhKPvj7XL9eSn8VUDFMeXBfXmRrKzb)
10,01/09/2022,[Example of gaussian elimination method]()
11,02/09/2022,[RREF Form](https://drive.google.com/open?id=1RlQzzxCV17ZyCpqEmM3YSLz7VlsRHutJ)
12,03/09/2022,[Eigen value and eigen vector](https://drive.google.com/open?id=1IuFSJ6D8S177T8wz4MFcGPuCJPAEzQqO)
13,05/09/2022,[Eigen vector](https://drive.google.com/open?id=1qh_gYyHxgMqESjO6e6W96Y9dl9ZNFviN)
14,06/09/2022,[Diagonalization](https://drive.google.com/open?id=1OOMF8fxmx159bnEWJaHL8tYn8OM91xbL)
15,07/09/2022,[Diagonalization](https://drive.google.com/open?id=1d_MEiifQ-LjixSwbeP2lLACCgxflj6ei)
16,10/09/2022,[Minimal polynomial](https://drive.google.com/open?id=1WAsI7OPyI-GTkQ24R7qCOfeYtgFRRkQV)
17,12/09/2022,[Minimal polynomial](https://drive.google.com/open?id=1ungK-KoFb1kKD1BJBKP2w593HN3csiXK)
18,13/09/2022,[Matrix representation of linear transformation](https://drive.google.com/open?id=18k721tnYr_N_unS3nmeVW6GsIRvFCAIG)
19,15/09/2022,[Example of matrix representation of linear transformation](https://drive.google.com/open?id=1irtfuW2_nE276GUg1KaiW_50NpCqA1Zv)
20,16/09/2022,[Similar matrices](https://drive.google.com/open?id=1ZejTa3uI-59_gttw8x98yrbgigm0gykQ)
21,19/09/2022,[Invariant subspace](https://drive.google.com/open?id=1c8DQD95PMmlQXAXkFMJGuvhDwQFXG-hV)
